Quarter,Sales,AdBudget,GDP
1/03/1981,1020.2,659.2,251.8
1/06/1981,889.2,589,290.9
1/09/1981,795,512.5,290.8
1/12/1981,1003.9,614.1,292.4
1/03/1982,1057.7,647.2,279.1
1/06/1982,944.4,602,254
1/09/1982,778.5,530.7,295.6
1/12/1982,932.5,608.4,271.7
1/03/1983,996.5,637.9,259.6
1/06/1983,907.7,582.4,280.5
1/09/1983,735.1,506.8,287.2
1/12/1983,958.1,606.7,278
1/03/1984,1034.1,658.7,256.8
1/06/1984,992.8,614.9,271
1/09/1984,791.7,489.9,300.9
1/12/1984,914.2,586.5,289.8
1/03/1985,1106.5,663,266.8
1/06/1985,985.1,591.7,273.7
1/09/1985,823.9,502.2,301.3
1/12/1985,1025.1,616.4,285.6
1/03/1986,1064.7,647.1,270.6
1/06/1986,981.9,615.5,274.6
1/09/1986,828.3,514.8,299.7
1/12/1986,940.7,609.1,275.9
1/03/1987,991.1,641.3,279.3
1/06/1987,1021.2,620.2,290.8
1/09/1987,796.7,511.2,295.6
1/12/1987,986.6,621.3,271.9
1/03/1988,1054.2,645.3,267.4
1/06/1988,1018.7,616,281
1/09/1988,815.6,503.2,309
1/12/1988,1010.6,617.5,266.7
1/03/1989,1071.5,642.8,283.5
1/06/1989,954,585.6,282.3
1/09/1989,822.9,520.6,289.2
1/12/1989,867.5,608.6,270.7
1/03/1990,1002.3,645.7,266.5
1/06/1990,972,597.4,287.9
1/09/1990,782.9,499.8,287.6
1/12/1990,972.8,601.8,283.4
1/03/1991,1108,650.8,266.4
1/06/1991,943.7,588.3,292.3
1/09/1991,806.1,491.6,330.6
1/12/1991,954.2,603.3,286.2
1/03/1992,1115.5,663.2,259.2
1/06/1992,927.1,614,263.7
1/09/1992,800.7,506.3,288.2
1/12/1992,955.7,606.2,274.1
1/03/1993,1049.8,639.5,287.1
1/06/1993,886,585.9,285.5
1/09/1993,786.4,492.2,303.7
1/12/1993,991.3,610.4,275.6
1/03/1994,1113.9,660.8,249.3
1/06/1994,924.5,612.2,272.9
1/09/1994,771.4,509.2,289.8
1/12/1994,949.8,612.1,269.2
1/03/1995,990.5,653.2,261.3
1/06/1995,1071.4,605.3,292.9
1/09/1995,854.1,506.6,304.6
1/12/1995,929.8,597.4,276.3
1/03/1996,959.6,635.2,268.2
1/06/1996,991.1,611.6,293.5
1/09/1996,832.9,503.8,311.1
1/12/1996,1006.1,609.9,273.7
1/03/1997,1040.7,645.2,267.5
1/06/1997,1026.3,609.8,271.9
1/09/1997,785.9,512.1,308.8
1/12/1997,997.6,603.7,282.9
1/03/1998,1055,639.4,268.4
1/06/1998,925.6,601.6,271.4
1/09/1998,805.6,497,292.1
1/12/1998,934.1,602.8,287.6
1/03/1999,1081.7,647.3,258
1/06/1999,1062.3,612.5,282.9
1/09/1999,798.8,492.2,295
1/12/1999,1014.3,610.8,271.2
1/03/2000,1049.5,646.5,275.4
1/06/2000,961.7,603.3,284
1/09/2000,793.4,503.8,300.9
1/12/2000,872.3,598.3,277.4
1/03/2001,1014.2,649.4,273.8
1/06/2001,952.6,620.2,288.4
1/09/2001,792.4,497.9,283.4
1/12/2001,922.3,609.2,273.4
1/03/2002,1055.9,665.9,271.5
1/06/2002,906.2,600.4,283.6
1/09/2002,811.2,502.3,290.6
1/12/2002,1005.8,605.6,289.1
1/03/2003,1013.8,647.6,282.2
1/06/2003,905.6,583.5,285.6
1/09/2003,957.3,502.5,304
1/12/2003,1059.5,625.9,271.5
1/03/2004,1090.6,648.7,263.9
1/06/2004,998.9,610.7,288.3
1/09/2004,866.6,519.1,290.2
1/12/2004,1018.7,634.9,284
1/03/2005,1112.5,663.1,270.9
1/06/2005,997.4,583.3,294.7
1/09/2005,826.8,508.6,292.2
1/12/2005,992.6,634.2,255.1
